-0.93555,0.30249,-0.35401,-0.48818,-0.90505,-0.64421,0.058168,0.32731,-0.61747
-0.26276,-0.037327,-0.54831,-0.98497,0.067601,0.67235,-0.066804,0.34365,-0.1671
-0.44215,-0.79562,-0.026015,0.77338,-0.50745,-0.56515,-0.12096,-0.54113,-0.75341
0.50668,-0.76576,-0.82983,0.89052,-0.40909,0.23417,0.75789,-0.10048,0.52234
0.9578,0.88102,-0.15237,-0.23362,0.41094,-0.67571,0.29437,-0.32257,0.48923
-0.5846,0.34435,0.3066,-0.81398,-0.71128,-0.20973,-0.76635,0.58472,-0.10486
0.4961,0.74166,-0.24019,-0.73863,-0.78046,0.61195,0.92337,0.91377,0.35412
0.5701,1.0441,0.54077,-0.33122,0.12607,0.21481,0.31823,-0.15898,0.63071
0.069024,0.5729,0.19151,0.22088,-0.64635,0.76019,0.038643,0.953,-0.59414
0.84044,0.18934,1.039,0.74667,-0.16563,0.37713,0.5901,0.28053,-0.64654
